keys,en,zh
# Stats Labels,,
STAT_REALITY,Reality Score,現實值
STAT_POSITIVE,Positive Energy,正能量值
STAT_ENTROPY,Entropy Level,熵增等級
# Skill Labels,,
SKILL_LOGIC,Logic,邏輯
SKILL_PERCEPTION,Perception,感知
SKILL_COMPOSURE,Composure,沉著
SKILL_EMPATHY,Empathy,共情
# Teammate Labels,,
TEAMMATE_GLORIA,Saint Gloria,聖母 Gloria
TEAMMATE_DONKEY,Knight Donkey,榮光騎士 Donkey
TEAMMATE_ARK,Archivist ARK,秩序使徒 ARK
TEAMMATE_ONE,One,One
# Phase Labels,,
PHASE_HONEYMOON,Honeymoon Phase,蜜月期
PHASE_NORMAL,Normal Phase,常態期
PHASE_CRISIS,Crisis Phase,危機期
# Reason Translations,,
REASON_POSITIVE_CURSE,Positive Energy Curse,正能量詛咒
REASON_PRAYER_AFTERSHOCK,Prayer aftershock,禱告餘震
REASON_GLORIA_ACCUSATION,Gloria's negative-energy accusation,Gloria的負能量控訴
REASON_TEACHER_CONCERT,Teacher Chan's apocalypse concert,陳老師的天啟演唱會
REASON_FORCED_ECHO,Forced to echo Gloria,被迫附和聖母
REASON_MISSION_SUCCESS,"Mission ""success"" backlash",任務「成功」
REASON_MISSION_AFTERSHOCK,Mission aftershock,任務餘波
# Event Messages,,
EVENT_REALITY_CHANGE,Reality score change: %s,現實值變化: %s
EVENT_POSITIVE_CHANGE,Positive energy change: %s,正能量值變化: %s
EVENT_ENTROPY_SURGE,World entropy surge: %s,世界熵增加速: %s
EVENT_MISSION_STARTED,Mission #%s started,開始任務 #%s
EVENT_MISSION_COMPLETE,Mission #%s completed (%s),任務完成 #%s（成功：%s）
EVENT_PHASE_CHANGED,Game phase changed: %s,遊戲階段變更: %s
EVENT_HONEYMOON_CHARGE,Honeymoon charge -1,蜜月層數 -1
EVENT_HONEYMOON_DEPLETED,Honeymoon phase depleted; teammates reveal their true nature,蜜月期耗盡，隊友恢復真面目
EVENT_HONEYMOON_RESET,Honeymoon charges reset to 5,蜜月期層數重置為 5
# Status,,
STATUS_SUCCESS,success,是
STATUS_FAILED,failed,否
# Error Contexts (for ErrorReporter),,
ERROR_CONTEXT_SaveSystem,Save System,存檔系統
ERROR_CONTEXT_SaveLoadSystem,Save/Load System,存檔系統
ERROR_CONTEXT_AssetLoader,Asset Loader,資源加載器
ERROR_CONTEXT_AudioManager,Audio Manager,音頻管理器
ERROR_CONTEXT_AIManager,AI Manager,AI 管理器
ERROR_CONTEXT_GameState,Game State,遊戲狀態
ERROR_CONTEXT_LocalizationManager,Localization Manager,本地化管理器
ERROR_CONTEXT_EventBus,Event Bus,事件總線
ERROR_CONTEXT_StoryScene,Story Scene,劇情場景
ERROR_CONTEXT_NetworkManager,Network Manager,網絡管理器
# Error Icons,,
ERROR_ICON_INFO,ℹ️,ℹ️
ERROR_ICON_WARNING,⚠️,⚠️
ERROR_ICON_ERROR,❌,❌
ERROR_ICON_CRITICAL,🚨,🚨
# NPC Names,,
NPC_generic_villager_male,Villager (Male),男性村民
NPC_generic_villager_female,Villager (Female),女性村民
NPC_generic_guard,Guard,守衛
NPC_generic_merchant,Merchant,商人
NPC_generic_elder,Elder,長者
NPC_generic_child,Child,兒童
NPC_generic_priest,Priest,神職人員
NPC_generic_scientist,Scientist,科學家
NPC_unknown,NPC,角色
# Tutorial Texts,,
TUTORIAL_first_choice,Make your choice. But remember: in this world good intentions often backfire.,做出你的首次選擇。記住：這裡的善意常常適得其反。
TUTORIAL_first_stat_change,Watch your Reality score. When it drops to 0 the game is over.,注意現實值。降到 0 時，遊戲立刻結束。
TUTORIAL_first_prayer,The prayer system lets you input positive wishes... then watch them turn into disasters.,祈禱系統會把盼望扭曲成災難，靜待反諷上演。
TUTORIAL_first_mission,Congratulations on completing your first mission! Check the journal for story details.,恭喜完成第一項任務！打開日誌查看細節。
TUTORIAL_first_skill_check,Skill checks are based on your abilities. Improving skills unlocks more options.,技能檢定取決於能力值。提升能力可解鎖更多選項。
